QKEY,INTERVIEW_START_W139,INTERVIEW_END_W139,DEVICE_TYPE_W139,LANG_W139,FORM_W139,XPARTYSUMFINAL_W139,XREG_W139,SATIS_W139,POL1JB_W139,POL1JBSTR_W139,INSTFAV_a_W139,INSTFAV_b_W139,INSTFAV_c_W139,INSTFAV_FED_W139,INSTFAV_STAT_W139,INSTFAV_LOC_W139,JBCONF_ECON_W139,JBCONF_CRIS_W139,JBCONF_IMMI_W139,JBCONF_CONG_W139,JBCONF_CLSR_W139,ISGZ_BDN_W139,REPFIELD_W139,REPNOMOE_CODED_W139,PRICANDSAT_R_DT_W139,PRICANDSAT_R_RDS_W139,PRICANDSAT_R_CC_W139,PRICANDSAT_R_VR_W139,PRICANDSAT_R_NH_W139,REPDEALFGHT_W139,PRMRYSYT_W139,REPPRI_FCS_W139,REPPRIMINT_W139,REPPRIMCOMP_W139,UKRFOL_W139,JB_RUSUKR_APP_W139,UKR_SPRT_W139,RU_UKN_THRT2_W139,PARTYTRAITH2H_FED_W139,PARTYTRAITH2H_WORK_W139,PARTYTRAITH2H_PLM_W139,PARTYTRAITH2H_SEL_W139,PARTYTRAITH2H_HON_W139,PARTYTRAITH2H_UNI_W139,PARTYTRAITH2H_LEAD_W139,PARTYTRAITH2H_MID_W139,ISGZ_FOL_W139,ISGZ_RESPNSBL_ISRGOV_W139,ISGZ_RESPNSBL_HMS_W139,ISGZ_RESPNSBL_ISRPPL_W139,ISGZ_RESPNSBL_PLS_W139,ISGZ_RESPNS_W139,BIDEN_FAVORISRPAL_W139,ISGZ_CONC_BIG_W139,ISGZ_CONC_TERR_W139,ISGZ_CONC_RSLV_W139,ISGZ_CONC_VLC_JW_W139,ISGZ_CONC_VLC_MSLM_W139,COEX_W139,COLGJOB_W139,COLGIMP_W139,EDUCJOB_W139,DEGRCOST_W139,NDEGRJOB_W139,DTREPPTY_W139,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W139
101437,2023-11-30T15:38:49Z,2023-11-30T15:49:19Z,1,1,2,1,1,2,2,1,,,,4,3,2,4,4,99,4,4,4,3,8,1,4,4,4,4,1,2,2,2,2,1,4,1,3,,,,,3,3,3,3,1,3,1,2,1,2,,2,1,2,2,4,2,5,3,4,3,3,1,2,2,4,3,4,2,2,4,2,,1,1,1,1,3,1,1,1,2,1,,1,1,1,2,2,2,2,2,1.1813486226117056
101493,2023-11-28T17:56:00Z,2023-11-28T18:08:04Z,1,1,2,1,1,2,2,1,,,,4,4,4,4,4,4,4,4,4,3,8,1,1,4,4,1,2,3,2,2,2,1,4,1,2,,,,,1,1,3,3,1,2,1,2,1,2,,1,2,1,1,4,2,2,1,1,3,4,4,1,4,9,3,4,1,2,3,1,1,1,1,3,1,4,12,,3,6,1,,1,1,1,8,2,1,2,3,0.12924790566445765
103677,2023-11-28T16:07:45Z,2023-11-28T22:58:25Z,3,1,1,1,1,2,2,1,2,4,4,,,,4,4,4,4,4,3,2,7,1,1,4,1,4,2,2,1,1,2,1,4,1,2,1,1,1,1,,,,,1,3,1,3,1,,3,3,3,4,2,4,2,3,2,2,3,3,1,1,1,2,2,3,1,2,4,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,1,1,1,3,1.019901768111692
104491,2023-11-28T16:02:30Z,2023-11-28T16:12:22Z,1,1,2,2,1,2,1,1,,,,3,2,3,1,1,1,1,1,3,4,,,,,,,,,2,2,2,2,2,1,1,,,,,2,2,2,2,2,1,1,1,1,1,,2,3,2,4,3,2,2,1,1,1,4,,1,4,9,1,4,2,2,3,2,,4,1,1,4,5,12,,3,6,2,,2,4,1,3,5,3,2,2,1.0235734080115482
104727,2023-11-29T19:57:32Z,2023-11-29T20:05:52Z,2,1,1,1,1,2,2,1,1,4,3,,,,4,4,4,4,4,4,2,4,2,2,4,4,1,1,2,2,2,2,5,4,1,3,3,1,3,3,,,,,5,5,5,5,5,,4,99,99,99,99,99,2,5,3,3,2,1,1,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,2,2,99,1.4353754057339714
106885,2023-11-27T20:21:44Z,2023-11-27T21:20:07Z,2,1,2,1,1,2,2,99,,,,4,4,2,4,4,4,4,4,4,2,8,2,1,3,2,1,1,3,1,1,1,3,4,1,4,,,,,1,1,1,1,2,3,1,2,2,3,,1,1,1,3,2,1,5,2,6,1,2,2,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,2,2,2,1,1,,1,1,1,9,2,1,1,3,0.11976586111346563
108035,2023-11-28T17:37:02Z,2023-11-28T17:44:36Z,2,1,1,1,1,2,2,1,2,4,3,,,,4,4,4,4,4,4,2,8,1,3,4,2,2,1,2,1,2,2,3,4,1,2,3,1,3,1,,,,,3,3,1,2,2,,2,3,1,2,5,5,2,4,1,5,3,1,1,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,0.7031560707969936
108435,2023-11-28T16:41:37Z,2023-11-30T11:28:10Z,1,1,1,1,1,2,2,1,2,3,2,,,,4,4,4,4,4,3,2,3,1,1,2,2,1,2,2,2,2,2,3,3,4,2,1,3,1,1,,,,,3,2,1,3,1,,4,2,1,2,2,4,2,3,2,3,2,3,1,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,9,2,2,2,3,0.9298314662745811
109299,2023-11-30T10:08:37Z,2023-11-30T10:22:27Z,1,1,2,1,1,2,2,1,,,,4,4,2,4,4,4,4,4,3,2,8,1,1,3,1,1,2,2,1,2,2,3,4,4,2,,,,,1,3,1,1,3,3,1,3,1,2,,3,3,4,3,5,2,5,2,3,3,2,2,1,4,9,2,4,1,2,4,1,1,1,5,3,1,1,11,2,4,5,4,1,1,2,1,7,3,3,2,2,0.1922689517540071
112371,2023-11-28T22:22:27Z,2023-11-28T22:33:27Z,2,1,2,1,1,2,2,1,,,,4,4,3,4,4,4,4,4,4,3,8,2,4,4,3,4,1,2,2,2,2,4,5,1,2,,,,,1,1,1,3,4,2,1,3,3,3,,99,2,4,1,4,1,2,2,3,2,4,2,1,1,2,2,3,2,2,3,1,3,1,1,3,1,1,2,2,2,5,3,1,1,1,1,99,2,2,2,99,0.51801618244209
