QKEY,INTERVIEW_START_W140,INTERVIEW_END_W140,DEVICE_TYPE_W140,LANG_W140,FORM_W140,SATIS_W140,YEARAHEAD_W140,POL1JB_W140,POL1JBSTR_W140,JBSUCCESS_W140,BIDENDESC_ORD_W140,BIDENDESC_MENT_W140,BIDENDESC_STND_W140,BIDENDESC_HON_W140,BIDENDESC_INSP_W140,BIDENDESC_GETDN_W140,BIDENDESC_ENER_W140,BIDENDESC_STRN_W140,BIDENDESC_MDL_W140,BIDENDESC_TEMP_W140,INCREMENTAL_W140,INSTN_CHR_W140,INSTN_CLGS_W140,INSTN_LBRUN_W140,INSTN_TECHCMP_W140,INSTN_SMBUS_W140,INSTN_K12_W140,INSTN_BNKS_W140,INSTN_MIL_W140,INSTN_LGECRP_W140,INSTN2_CHR_W140,INSTN2_CLGS_W140,INSTN2_LBRUN_W140,INSTN2_TECHCMP_W140,INSTN2_SMBUS_W140,INSTN2_K12_W140,INSTN2_BNKS_W140,INSTN2_MIL_W140,INSTN2_LGECRP_W140,DECISION_W140,WINLOSE_W140,PRIPRES_JOB_W140,PRIPRES_BD_W140,PRIPRES_DTRD_W140,PRIPRES_ENV_W140,PRIPRES_TER_W140,PRIPRES_EC_W140,PRIPRES_GCC_W140,PRIPRES_EDU_W140,PRIPRES_HC_W140,PRIPRES_CRI_W140,PRIPRES_GT_W140,PRIPRES_INF_W140,PRIPRES_RA_W140,PRIPRES_SC_W140,PRIPRES_MON_W140,PRIPRES_POOR_W140,PRIPRES_MIL_W140,PRIPRES_NRG_W140,PRIPRES_IMM_W140,PRIPRES_POL_W140,PRESWITHOP_W140,OPWITHPRES_W140,ECON1_W140,ECON1B_W140,ECONCONC_PRICE_W140,ECONCONC_UNEM_W140,ECONCONC_REAL_W140,ECONCONC_STCK_W140,ECONCONC_ENG2_W140,ECONCONC_BANK_W140,HGSTNDRD_W140,HGSTNDRD2_W140,MARIJUANA3_W140,MARIJ_STRICT_W140,MARIJ_CRIME_W140,MARIJ_ECON_W140,MARIJ_FAIR_W140,MARIJ_DRUG_W140,EXCPWER_W140,TALKIMP_W140,TALKCONF_W140,VTPRIORITY_ATO_W140,VTPRIORITY_HLDY_W140,VTPRIORITY_FLN_W140,VTPRIORITY_RMVVT_W140,VTPRIORITY_BLT_CL_W140,VTPRIORITY_GOVID_W140,VTPRIORITY_PPR_W140,VTPRIORITY_ERLY_W140,VTPRIORITY_ML_W140,VTPRIORITY_REGED_W140,UNDROPPL_W140,UNIONDROP_W140,BORDER_CL_W140,BRDERJOB_W140,IMM_CRISIS_W140,IMMFACT_NOOPP_W140,IMMFACT_USOPP_W140,IMMFACT_VIOL_W140,IMMFACT_FRDM_W140,IMMFACT_POL_W140,IMMCRIMM_W140,IMMPOLIMPCT_DPRT_W140,IMMPOLIMPCT_BUS_W140,IMMPOLIMPCT_AID_W140,IMMPOLIMPCT_HRD_W140,IMMPOLIMPCT_COND_W140,IMMPOLIMPCT_RCS_W140,IMMPOLIMPCT_OPP_W140,IMMPOLIMPCT_WALL_W140,IMMPOLIMPCT_WORK_W140,NEWYR_W140,NEWRES_HLTH_W140,NEWRES_WRK_W140,NEWRES_FMLY_W140,NEWRES_HBS_W140,NEWRES_FIN_W140,NEWRES_SE_W140,RESKEPT_M_W140,RESKEPT_S_W140,RESLNONE_W140,IMPEACHFOLL_JB_W140,IMPEACHAPP_JB_W140,IMPEACHREM_JB_W140,WRKRCMPMOD_W140,SOCSEC_CPS_W140,ASREP_ABORT_W140,ASREP_AGREE_a_W140,ASREP_AGREE_b_W140,ASREP_AGREE_c_W140,ASREP_AGREE_d_W140,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W140
100363,2024-01-17T18:28:50Z,2024-01-17T18:40:10Z,2,1,1,2,,2,2,2,2,2,2,2,2,,,,,,1,1,2,1,1,1,1,2,1,2,,,,,,,,,,1,2,2,3,2,2,1,,,,,,2,2,3,2,1,,,,,,1,,4,,,,,,,,1,,2,3,3,3,3,3,2,1,1,1,4,1,2,2,,,,,,3,,2,4,,1,1,1,1,1,1,1,1,3,2,3,,,,,3,,,,,,,,,1,4,4,3,2,2,2,5,4,2,1,1,1,2,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,4,2,,2,4,1,9,4,2,1,2,1.0148463613793108
100637,2024-01-18T13:08:57Z,2024-01-18T13:18:21Z,1,1,1,2,,2,1,2,4,4,4,4,4,,,,,,1,1,2,2,1,1,2,2,2,2,,,,,,,,,,1,2,2,3,2,3,1,,,,,,2,2,3,2,2,,,,,,1,,4,,,,,,,,2,,2,1,3,1,3,3,1,3,1,2,1,2,1,1,,,,,,2,,2,4,,1,2,1,2,1,1,1,1,3,1,2,,,,,3,,,,,,,,,5,2,1,1,2,1,3,5,3,1,1,1,3,5,3,4,2,2,4,2,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,2,1,1.2690654396879988
101493,2024-01-17T16:56:06Z,2024-01-17T19:16:32Z,1,1,1,2,,2,1,2,4,4,4,4,4,,,,,,1,2,2,2,1,1,2,2,1,2,,,,,,,,,,1,2,3,1,1,3,1,,,,,,2,2,3,1,1,,,,,,1,,4,,,,,,,,2,,1,1,1,1,3,3,2,4,1,2,1,4,2,1,,,,,,4,,1,4,,1,1,2,3,1,1,1,1,3,1,3,,,,,3,,,,,,,,,2,1,1,1,1,1,3,5,3,2,1,1,4,9,3,4,1,2,3,1,1,1,1,3,1,4,12,,3,6,1,,1,1,1,8,2,1,2,3,0.18051885663094797
103060,2024-01-17T21:29:08Z,2024-01-17T23:42:12Z,1,1,2,,2,1,1,1,,,,,,1,2,2,2,2,1,,,,,,,,,,3,3,2,1,1,4,3,3,3,2,2,,,,,,1,1,1,1,1,,,,,,1,1,1,1,2,,1,2,1,1,3,1,3,1,1,,2,1,1,3,1,1,3,2,1,3,,,,,,4,4,4,1,4,,3,2,,1,1,1,1,1,3,3,,,,,,1,4,3,3,3,,,,,,,,,1,4,4,4,2,1,1,5,5,1,1,1,3,5,2,4,2,2,4,2,,1,1,1,1,1,12,,3,6,2,,2,4,1,8,4,2,2,2,0.9363498519032452
103379,2024-01-18T14:44:10Z,2024-01-18T15:32:57Z,1,1,1,2,,2,1,2,4,4,4,4,4,,,,,,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,1,2,2,1,1,3,1,,,,,,2,2,3,1,1,,,,,,1,,4,,,,,,,,2,,3,2,2,2,2,1,1,3,2,4,2,4,1,4,,,,,,1,,1,4,,2,2,2,1,1,1,1,1,2,1,1,,,,,3,,,,,,,,,1,1,1,1,2,1,3,5,3,2,1,1,3,5,2,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,1,5,2,3,1.415037094825844
104210,2024-01-20T11:21:31Z,2024-01-20T11:34:12Z,2,1,2,,2,1,1,3,,,,,,2,2,2,1,1,1,,,,,,,,,,4,2,1,3,1,1,3,2,4,1,2,,,,,,2,1,1,1,2,,,,,,1,4,1,2,1,,1,3,2,1,1,1,4,3,3,,1,1,1,1,1,1,2,2,2,2,,,,,,2,1,1,1,2,,4,3,,3,1,1,1,1,3,3,,,,,,1,3,2,1,3,,,,,,,,,1,4,4,4,2,2,1,5,5,1,3,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,2,4,1,2,5,2,2,1,0.8366816611914095
104368,2024-01-18T06:20:31Z,2024-01-18T07:18:12Z,1,1,2,,1,2,1,2,,,,,,4,4,4,3,2,1,,,,,,,,,,1,2,3,2,1,3,3,2,3,1,2,,,,,,1,1,1,1,1,,,,,,2,2,1,2,3,,1,1,3,3,3,2,3,4,4,,1,2,3,2,2,3,1,2,1,1,,,,,,1,3,1,4,3,,3,2,,2,1,1,1,1,1,3,,,,,,1,1,3,1,1,1,2,2,1,2,2,3,,,3,3,3,2,1,3,5,4,1,1,1,3,7,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,3,1,2,0.854213543667532
104689,2024-01-17T20:26:33Z,2024-01-17T20:43:05Z,2,1,2,,1,1,1,1,,,,,,1,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,,,,,,1,1,1,1,1,,,,,,1,1,2,1,2,,1,2,1,1,2,2,2,2,3,,1,1,3,3,1,1,2,1,2,2,,,,,,2,1,2,1,1,,2,3,,2,1,1,1,1,2,3,,,,,,3,1,3,1,3,,,,,,,,,1,3,4,4,2,1,1,5,4,1,2,2,2,3,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,2,,2,3,1,1,3,2,2,1,1.124602856265692
104727,2024-01-17T23:35:05Z,2024-01-17T23:45:30Z,2,1,1,2,,2,1,2,4,4,4,4,4,,,,,,2,2,2,2,2,1,2,2,2,2,,,,,,,,,,1,2,2,1,2,3,3,,,,,,2,1,3,2,1,,,,,,1,,4,,,,,,,,2,,1,4,3,1,3,2,1,2,1,4,4,2,3,1,,,,,,1,,4,4,,2,1,1,3,1,1,3,1,2,1,2,,,,,3,,,,,,,,,1,5,3,1,2,2,3,5,3,3,2,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,2,2,99,1.2330496959384554
106180,2024-01-17T15:51:16Z,2024-01-17T16:19:58Z,2,1,2,,2,2,1,2,,,,,,2,3,4,4,4,1,,,,,,,,,,2,4,3,3,1,4,3,2,3,1,2,,,,,,1,4,2,2,2,,,,,,3,1,1,1,2,,2,3,2,1,2,1,3,1,2,,1,3,2,2,3,2,1,2,2,1,,,,,,1,2,3,4,4,,2,3,,1,1,1,1,1,1,1,,,,,,1,2,1,2,3,,,,,,,,,5,4,1,1,2,2,4,5,5,1,1,1,3,7,3,3,1,2,4,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,9,1,2,1,2,0.8851633444553276
