QKEY,INTERVIEW_START_W145,INTERVIEW_END_W145,DEVICE_TYPE_W145,LANG_W145,FORM_W145,ECON_SIT_W145,CHILDREN_BETTEROFF2_W145,SATISFIED_DEMOCRACY_W145,FAV_US_W145,FAV_CHINA_W145,FAV_EU_W145,FAV_UN_W145,FAV_NATO_W145,FAV_RUSSIA_W145,FAV_INDIA_W145,FAV_MEXICO_W145,FAV_BRAZIL_W145,FAV_UK_W145,FAV_GERMANY_W145,FAV_FRANCE_W145,PARTYFAV_REP_W145,PARTYFAV_DEM_W145,CONFID_XI_W145,CONFID_PUTIN_W145,CONFID_MACRON_W145,CONFID_ZELENSKYY_W145,CONFID_NETANYAHU_W145,PROB_RICH_POOR_W145,PROB_GEN_UNEQUAL_W145,PROB_RACEDISCRIM_W145,PROB_RELDISCRIM_W145,PROB_MISINFORMATION_W145,FREE_PRESS_W145,FREE_SPEECH_W145,FREE_INTERNET_W145,FREEDOM_PRESS_W145,FREEDOM_SAY_W145,FREEDOM_INTERNET_W145,INEQUALITY_MERIT_W145,INEQUALITY_OPP_W145,INEQUALITY_DISCRIM_W145,INEQUALITY_AUTOMATION_W145,INEQUALITY_EDU_W145,INEQUALITY_RICH_W145,ECONSYS_REFORM_W145,USDEMOCRACY_EXAMPLE_W145,PREZFP_W145,USRESPECT_IMPORT_W145,LRNGFP_a_W145,LRNGFP_b_W145,LRNGFP_c_W145,LRNGFP_d_W145,LRNGFP_e_W145,LRNGFP_f_W145,LRNGFP_g_W145,LRNGFP_h_W145,LRNGFP_i_W145,LRNGFP_j_W145,LRNGFP_k_W145,LRNGFP_l_W145,LRNGFP_m_W145,LRNGFP_n_W145,LRNGFP_o_W145,LRNGFP_p_W145,LRNGFP_q_W145,LRNGFP_r_W145,LRNGFP_s_W145,LRNGFP_t_W145,LRNGFP_u_W145,LRNGFP_v_W145,US_EURO_SEC_W145,US_EURO_ECON_W145,US_EURO_DEM_W145,GROWINFLU1_CHINA_W145,GROWINFLU1_RUSSIA_W145,GROWINFLU1_INDIA_W145,GROWINFLU1_GERMANY_W145,GROWINFLU1_FRANCE_W145,GROWINFLU1_UK_W145,GROWINFLU1_IRAN_W145,GROWINFLU1_BRAZIL_W145,GROWINFLU1_COUNTRY_W145,GROWINFLU2_NATO_W145,GROWINFLU2_EU_W145,GROWINFLU2_UN_W145,CHINA_US_ENEMY_W145,RUSSIA_US_ENEMY_W145,BRDERJOB_W145,BRDERJOB_MEX_W145,CHINA_INFLU_ECON_W145,CHINA_INFLU_ECON2_W145,CHINA_DISPUTES_W145,NATIONALITY_RELIG_W145,NATIONALITY_BORN_W145,NATIONALITY_LANG_W145,NATIONALITY_CUSTOM_W145,BENEFITORG_NATO_W145,BENEFITORG_UN_W145,BENEFITORG_WHO_W145,UNISGZ_AID_W145,UNISGZ_CEASEFIRE_W145,EU_DEF_SPEND_W145,UKR_SPRT_W145,UKR_NATSEC_W145,UA_CONC_b_W145,UA_CONC_d_W145,SSDO_PRIORITIES_W145,SSDO_PUSH_W145,SSDO_IDEAL_W145,SSDO_DOMINATE_W145,CLASS_W145,CLASS2_W145,NATO_REGION_W145,NATO_FOCUS_W145,NATO_KNOW_W145,NEWSSOCIETY_W145,NEWSCORP_W145,NEWSGOVT_W145,NEWSRESTRICT_W145,NEWSPROTECT_W145,BESTAGE_MARRY_W145,BESTAGE_CHILD_W145,BESTAGE_HOUSE_W145,BESTAGE_RETIRE_W145,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W145
101493,2024-04-02T15:43:18Z,2024-04-02T16:01:26Z,1,1,2,4,2,4,3,4,4,4,4,2,3,4,4,2,3,3,2,4,3,2,3,4,1,1,2,3,2,1,1,1,1,4,4,4,1,3,4,1,1,1,1,2,1,1,,,,,,,,,,,,2,1,1,1,3,3,2,3,1,3,1,1,1,2,1,1,1,2,3,3,1,2,2,2,2,2,3,3,4,4,1,2,2,3,1,1,1,3,3,4,4,4,1,1,2,5,3,1,2,3,4,4,,4,4,4,1,2,1,1,1,24,26,96,96,1,4,9,3,4,1,2,3,1,1,1,1,3,1,4,12,,3,6,1,,1,1,1,8,2,1,2,3,0.09661151525448837
103538,2024-04-03T17:53:09Z,2024-04-03T18:30:35Z,1,1,1,1,1,2,2,4,2,2,1,4,2,4,2,2,2,1,4,2,4,4,2,1,3,2,1,1,2,1,1,2,1,1,2,2,4,2,1,1,2,2,4,2,1,2,2,1,1,1,1,2,1,1,1,1,2,,,,,,,,,,,,1,1,1,3,3,3,2,3,3,3,3,2,1,3,3,2,3,2,4,3,1,2,4,4,2,3,2,3,2,3,3,3,2,1,2,1,2,3,1,4,3,1,4,4,4,2,2,1,4,2,96,96,96,96,1,4,8,3,4,1,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,1.3848621100357872
106590,2024-04-04T00:24:16Z,2024-04-04T00:37:27Z,2,1,1,4,2,2,1,3,2,3,3,3,4,4,3,1,2,1,3,3,4,4,2,2,2,2,3,3,2,2,1,1,1,1,1,1,2,3,3,2,3,2,2,1,1,1,1,3,2,1,2,1,1,2,1,1,2,,,,,,,,,,,,1,1,2,1,2,1,1,1,1,2,2,1,3,2,3,3,2,4,4,1,2,2,4,4,2,2,3,3,3,3,3,4,3,1,2,2,1,4,1,4,3,3,4,4,4,2,1,1,2,1,28,32,26,70,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,3,1,1,2,1,9,3,2,2,3,1.3221196680967788
108035,2024-04-02T18:29:39Z,2024-04-02T18:45:42Z,2,1,1,4,2,4,1,4,2,4,4,2,1,3,4,2,1,2,2,4,4,2,3,3,1,4,3,2,2,1,1,2,1,1,2,2,1,4,4,3,2,1,3,2,1,1,3,3,1,3,3,1,1,3,3,1,2,,,,,,,,,,,,1,2,4,1,3,1,3,3,3,1,3,2,3,2,3,2,1,4,4,1,2,1,3,1,1,1,3,4,4,4,4,1,1,2,4,4,4,1,4,2,4,,4,4,4,3,1,1,2,2,96,97,21,65,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,0.4557728519077315
108435,2024-04-02T15:39:43Z,2024-04-02T15:54:09Z,2,1,1,3,2,3,2,3,3,4,2,3,2,3,3,2,2,2,2,4,3,3,3,3,2,3,3,3,2,2,1,1,1,2,3,2,2,2,3,3,1,3,3,2,99,2,2,3,2,2,3,2,1,3,2,1,2,,,,,,,,,,,,2,2,2,1,1,1,2,2,2,1,3,2,1,3,2,2,2,4,4,2,2,2,3,2,1,2,2,4,4,4,4,1,4,2,2,3,2,3,2,3,2,,4,4,4,2,2,1,2,1,25,29,29,60,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,9,2,2,2,3,1.1269736603524023
109299,2024-04-03T01:01:35Z,2024-04-03T01:23:41Z,1,1,1,3,2,4,1,4,2,4,3,3,2,2,2,2,2,2,2,3,4,3,2,3,1,3,4,4,3,1,1,1,2,1,1,1,1,2,4,4,2,2,2,1,1,2,2,3,2,3,2,2,1,3,3,1,2,,,,,,,,,,,,2,2,2,1,3,3,3,3,3,3,3,2,2,2,2,3,2,4,4,2,99,2,3,2,1,2,3,3,4,4,4,1,1,2,4,3,3,1,4,4,3,3,4,4,4,1,2,1,5,1,96,25,96,96,1,4,9,2,4,1,2,4,1,1,1,5,3,1,1,11,2,4,5,4,1,1,2,1,7,3,3,2,2,0.12697843296689867
111927,2024-04-02T16:29:21Z,2024-04-02T16:52:37Z,2,1,1,4,2,4,2,2,2,2,4,3,2,4,3,3,2,2,4,4,3,4,4,4,4,1,1,2,3,1,1,1,2,2,4,4,2,4,3,3,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,2,,,,,,,,,,,,1,1,1,1,1,1,3,3,3,1,3,2,3,3,2,2,2,4,4,1,2,2,2,1,1,3,1,1,2,3,4,3,1,2,4,3,3,2,2,4,4,,5,5,1,5,1,1,5,2,29,27,20,96,1,2,3,3,4,2,3,2,2,,1,1,1,1,3,12,,3,4,4,99,9,9,1,1,2,2,2,1,1.0332991472042141
113274,2024-04-02T15:39:17Z,2024-04-02T15:46:19Z,2,1,1,2,2,3,2,3,2,3,2,3,3,3,2,2,2,2,3,2,3,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,99,2,99,2,2,3,2,1,2,2,2,2,1,2,1,2,2,2,1,2,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,3,1,1,1,3,2,2,99,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,1,2,1,1,2,2,2,1,3,2,3,3,3,2,2,2,2,1,35,25,35,65,1,1,1,2,3,1,1,5,99,,1,1,1,1,2,5,,4,3,2,,2,3,1,2,2,2,2,1,1.3060104310005511
113565,2024-04-02T17:14:07Z,2024-04-02T17:35:11Z,2,1,1,3,2,2,2,3,3,3,2,4,3,3,3,2,3,3,2,3,4,4,2,2,2,2,3,3,3,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,3,1,2,,,,,,,,,,,,1,2,1,1,1,1,3,3,3,1,3,2,3,2,2,3,3,3,3,1,2,2,1,1,1,1,1,2,2,3,3,1,2,1,1,2,3,2,2,3,5,,4,1,5,4,1,2,2,2,22,26,30,65,2,3,6,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,2,,2,3,1,5,2,3,2,2,0.9740704531160819
116182,2024-04-02T18:32:39Z,2024-04-02T18:46:21Z,2,1,1,3,2,3,2,4,2,4,3,4,2,3,2,2,2,3,1,4,4,4,3,3,4,1,3,3,3,1,3,2,2,2,2,2,1,1,3,2,1,1,3,2,1,2,1,3,2,2,2,2,1,3,1,1,1,,,,,,,,,,,,1,1,3,1,3,3,3,2,3,3,2,2,3,3,2,2,3,4,3,2,2,1,3,3,1,3,3,3,3,3,4,1,2,2,2,2,2,1,2,3,3,2,4,4,4,4,1,1,3,2,96,96,96,96,1,4,8,1,4,1,2,3,2,,1,1,1,1,1,1,2,1,5,1,,1,1,1,9,2,2,2,3,0.986713452218845
